pmid,pmc,title,journal,doi,issn,publisher
22903596.0,,Crystal structures of rice (Oryza sativa) glyceraldehyde-3-phosphate dehydrogenase complexes with NAD and sulfate suggest involvement of Phe37 in NAD binding for catalysis.,Plant Mol Biol,10.1007/s11103-012-9953-7,1573-5028,Springer Science and Business Media LLC
23523719.0,,Fast and accurate reference-free alignment of subtomograms.,J Struct Biol,10.1016/j.jsb.2013.03.002,1095-8657,Elsevier BV
15939019.0,,Structural dissection of ATP turnover in the prototypical GHL ATPase TopoVI.,Structure,10.1016/j.str.2005.03.013,0969-2126,Elsevier BV
33686186.0,7940658.0,Cryo-EM structure of a functional monomeric Photosystem I from Thermosynechococcus elongatus reveals red chlorophyll cluster.,Commun Biol,10.1038/s42003-021-01808-9,2399-3642,Springer Science and Business Media LLC
20133842.0,2836615.0,Crystal structure of the DNA-recognition component of the bacterial virus Sf6 genome-packaging machine.,Proc Natl Acad Sci U S A,10.1073/pnas.0908569107,1091-6490,Proceedings of the National Academy of Sciences
22422993.0,3390238.0,Structure-guided design of a high-affinity platelet integrin αIIbβ3 receptor antagonist that disrupts Mg²⁺ binding to the MIDAS.,Sci Transl Med,10.1126/scitranslmed.3003576,1946-6242,American Association for the Advancement of Science (AAAS)
26686638.0,4720387.0,Neutralizing Monoclonal Antibodies Block Chikungunya Virus Entry and Release by Targeting an Epitope Critical to Viral Pathogenesis.,Cell Rep,10.1016/j.celrep.2015.11.043,2211-1247,Elsevier BV
21372189.0,3062182.0,Stacking interactions in PUF-RNA complexes.,RNA,10.1261/rna.2540311,1469-9001,Cold Spring Harbor Laboratory
18537269.0,2615413.0,"Structure of yeast poly(A) polymerase in complex with a peptide from Fip1, an intrinsically disordered protein.",Biochemistry,10.1021/bi800204k,1520-4995,American Chemical Society (ACS)
21762799.0,3166646.0,Design of in vitro symmetric complexes and analysis by hybrid methods reveal mechanisms of HIV capsid assembly.,J Mol Biol,10.1016/j.jmb.2011.04.073,1089-8638,Elsevier BV
27693469.0,,Cryo-EM structure of respiratory complex I reveals a link to mitochondrial sulfur metabolism.,Biochim Biophys Acta,10.1016/j.bbabio.2016.09.014,0006-3002,Elsevier BV
20091676.0,,Synthesis by native chemical ligation and crystal structure of human CCL2.,Biopolymers,10.1002/bip.21390,0006-3525,Wiley
15298919.0,1304455.0,"Lamellar organization of pigments in chlorosomes, the light harvesting complexes of green photosynthetic bacteria.",Biophys J,10.1529/biophysj.104.040956,0006-3495,Elsevier BV
32717224.0,7484307.0,"Inhibition, crystal structures, and in-solution oligomeric structure of aldehyde dehydrogenase 9A1.",Arch Biochem Biophys,10.1016/j.abb.2020.108477,1096-0384,Elsevier BV
19835144.0,,"[Purification, crystallographic analysis of rhesus MHC-I Mamu-A*02 complexed with simian immunodeficiency virus nonapeptide].",Sheng Wu Gong Cheng Xue Bao,,1000-3061,
11348594.0,,Specificity determinants in phosphoinositide dephosphorylation: crystal structure of an archetypal inositol polyphosphate 5-phosphatase.,Cell,10.1016/s0092-8674(01)00326-9,0092-8674,Elsevier BV
11023796.0,,"Comparison of three methyl-coenzyme M reductases from phylogenetically distant organisms: unusual amino acid modification, conservation and adaptation.",J Mol Biol,10.1006/jmbi.2000.4136,0022-2836,Elsevier BV
30975770.0,6701862.0,Architecture and subunit arrangement of native AMPA receptors elucidated by cryo-EM.,Science,10.1126/science.aaw8250,1095-9203,American Association for the Advancement of Science (AAAS)
18542890.0,,High throughput protein production and crystallization at NYSGXRC.,Methods Mol Biol,10.1007/978-1-60327-058-8_37,1064-3745,Humana Press
17902674.0,,In situ investigation of heterotrimeric G protein betagamma subunit binding and orientation on membrane bilayers.,J Am Chem Soc,10.1021/ja075542w,0002-7863,American Chemical Society (ACS)
22247334.0,,Interaction of MxiG with the cytosolic complex of the type III secretion system controls Shigella virulence.,FASEB J,10.1096/fj.11-197160,1530-6860,Wiley
22992069.0,3492919.0,Assessing the range of kinase autoinhibition mechanisms in the insulin receptor family.,Biochem J,10.1042/BJ20121365,1470-8728,Portland Press Ltd.
26585513.0,,Cryoelectron Tomography of the NAIP5/NLRC4 Inflammasome: Implications for NLR Activation.,Structure,10.1016/j.str.2015.10.001,1878-4186,Elsevier BV
28714967.0,6497169.0,Architecture of the type IV coupling protein complex of Legionella pneumophila.,Nat Microbiol,10.1038/nmicrobiol.2017.114,2058-5276,Springer Science and Business Media LLC
23055524.0,3510802.0,Membrane curvature protein exhibits interdomain flexibility and binds a small GTPase.,J Biol Chem,10.1074/jbc.M112.349803,1083-351X,Elsevier BV
32960677.0,7524362.0,Functional analysis and cryo-electron microscopy of Campylobacterjejuni serine protease HtrA.,Gut Microbes,10.1080/19490976.2020.1810532,1949-0984,Informa UK Limited
21147767.0,3057836.0,"The structure and interactions of SpoIISA and SpoIISB, a toxin-antitoxin system in Bacillus subtilis.",J Biol Chem,10.1074/jbc.M110.172429,1083-351X,Elsevier BV
23013274.0,,Determinants of substrate specificity and biochemical properties of the sn-glycerol-3-phosphate ATP binding cassette transporter (UgpB-AEC2 ) of Escherichia coli.,Mol Microbiol,10.1111/mmi.12025,1365-2958,Wiley
18336837.0,,The crystal structure of beta-alanine synthase from Drosophila melanogaster reveals a homooctameric helical turn-like assembly.,J Mol Biol,10.1016/j.jmb.2008.02.011,1089-8638,Elsevier BV
27976853.0,5745808.0,"Structural Basis for the Species-Selective Binding of N,C-Capped Dipeptides to the Mycobacterium tuberculosis Proteasome.",Biochemistry,10.1021/acs.biochem.6b01107,1520-4995,American Chemical Society (ACS)
33879791.0,8058080.0,Structure of the far-red light utilizing photosystem I of Acaryochloris marina.,Nat Commun,10.1038/s41467-021-22502-8,2041-1723,Springer Science and Business Media LLC
16080143.0,,Study of the insulin dimerization: binding free energy calculations and per-residue free energy decomposition.,Proteins,10.1002/prot.20528,1097-0134,Wiley
22142337.0,,Control of substrate specificity by a single active site residue of the KsgA methyltransferase.,Biochemistry,10.1021/bi201539j,1520-4995,American Chemical Society (ACS)
20179334.0,2827345.0,Structure of the unbound form of HIV-1 subtype A protease: comparison with unbound forms of proteases from other HIV subtypes.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444909054298,1399-0047,International Union of Crystallography (IUCr)
30928093.0,,Structural insights into the complex of trigger factor chaperone and ribosomal protein S7 from Mycobacterium tuberculosis.,Biochem Biophys Res Commun,10.1016/j.bbrc.2019.03.166,1090-2104,Elsevier BV
21029046.0,,"The crystal structure of human GLRX5: iron-sulfur cluster co-ordination, tetrameric assembly and monomer activity.",Biochem J,10.1042/BJ20101286,1470-8728,Portland Press Ltd.
34937700.0,8740770.0,"High-resolution cryo-electron microscopy structure of photosystem II from the mesophilic cyanobacterium, Synechocystis sp. PCC 6803.",Proc Natl Acad Sci U S A,10.1073/pnas.2116765118,1091-6490,Proceedings of the National Academy of Sciences
23695244.0,,Revisiting the Haloarcula marismortui 50S ribosomal subunit model.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444913004745,1399-0047,International Union of Crystallography (IUCr)
11563915.0,,Domain swing upon His to Ala mutation in nitrite reductase of Pseudomonas aeruginosa.,J Mol Biol,10.1006/jmbi.2001.4986,0022-2836,Elsevier BV
14623876.0,,"Crystal structure and mechanistic implications of N2-(2-carboxyethyl)arginine synthase, the first enzyme in the clavulanic acid biosynthesis pathway.",J Biol Chem,10.1074/jbc.M310803200,0021-9258,Elsevier BV
26499492.0,4703070.0,"cryo-EM structures of the E. coli replicative DNA polymerase reveal its dynamic interactions with the DNA sliding clamp, exonuclease and τ.",Elife,10.7554/eLife.11134,2050-084X,"eLife Sciences Publications, Ltd"
18513992.0,,Structural dynamics of the microtubule binding and regulatory elements in the kinesin-like calmodulin binding protein.,J Struct Biol,10.1016/j.jsb.2008.04.004,1095-8657,Elsevier BV
21969534.0,3193188.0,Mutagenesis of tryptophan199 suggests that hopping is required for MauG-dependent tryptophan tryptophylquinone biosynthesis.,Proc Natl Acad Sci U S A,10.1073/pnas.1109423108,1091-6490,Proceedings of the National Academy of Sciences
31853065.0,,Structural basis of DNA targeting by a transposon-encoded CRISPR-Cas system.,Nature,10.1038/s41586-019-1849-0,1476-4687,Springer Science and Business Media LLC
11175895.0,,Picture story. Getting started.,Nat Struct Biol,10.1038/84085,1072-8368,Springer Science and Business Media LLC
33044464.0,8268590.0,"PCR Mutagenesis, Cloning, Expression, Fast Protein Purification Protocols and Crystallization of the Wild Type and Mutant Forms of Tryptophan Synthase.",J Vis Exp,10.3791/61839,1940-087X,MyJove Corporation
27090790.0,5083087.0,Structural and Nonstructural Viral Proteins Are Targets of T-Helper Immune Response against Human Respiratory Syncytial Virus.,Mol Cell Proteomics,10.1074/mcp.M115.057356,1535-9484,Elsevier BV
14993226.0,,"Structural basis for acceptor substrate recognition of a human glucuronyltransferase, GlcAT-P, an enzyme critical in the biosynthesis of the carbohydrate epitope HNK-1.",J Biol Chem,10.1074/jbc.M400622200,0021-9258,Elsevier BV
25344756.0,5224936.0,Rsp5/Nedd4 is the main ubiquitin ligase that targets cytosolic misfolded proteins following heat stress.,Nat Cell Biol,10.1038/ncb3054,1476-4679,Springer Science and Business Media LLC
23919999.0,3735194.0,Structure-informed design of an enzymatically inactive vaccine component for group A Streptococcus.,mBio,10.1128/mBio.00509-13,2150-7511,American Society for Microbiology
27402535.0,,Crystal structure of the Trim5α Bbox2 domain from rhesus macaques describes a plastic oligomerisation interface.,J Struct Biol,10.1016/j.jsb.2016.07.004,1095-8657,Elsevier BV
19079336.0,,Location of secretory component on the Fc edge of dimeric IgA1 reveals insight into the role of secretory IgA1 in mucosal immunity.,Mucosal Immunol,10.1038/mi.2008.68,1935-3456,Elsevier BV
30102405.0,6182140.0,p15PAF binding to PCNA modulates the DNA sliding surface.,Nucleic Acids Res,10.1093/nar/gky723,1362-4962,Oxford University Press (OUP)
19407371.0,2675579.0,Structure of N-acetylglucosamine-1-phosphate uridyltransferase (GlmU) from Mycobacterium tuberculosis in a cubic space group.,Acta Crystallogr Sect F Struct Biol Cryst Commun,10.1107/S1744309109010252,1744-3091,International Union of Crystallography (IUCr)
11572683.0,,Fluoroaromatic-fluoroaromatic interactions between inhibitors bound in the crystal lattice of human carbonic anhydrase II.,J Am Chem Soc,10.1021/ja011034p,0002-7863,American Chemical Society (ACS)
26377800.0,4573485.0,The crystal structure of JNK from Drosophila melanogaster reveals an evolutionarily conserved topology with that of mammalian JNK proteins.,BMC Struct Biol,10.1186/s12900-015-0045-1,1472-6807,Springer Science and Business Media LLC
11846560.0,,NTF2 monomer-dimer equilibrium.,J Mol Biol,10.1006/jmbi.2001.5136,0022-2836,Elsevier BV
20954171.0,,Noncellulosomal cohesin from the hyperthermophilic archaeon Archaeoglobus fulgidus.,Proteins,10.1002/prot.22857,1097-0134,Wiley
