pmid,pmc,title,journal,doi,issn
17766440,1963346,MitoNEET is a uniquely folded 2Fe 2S outer mitochondrial membrane protein stabilized by pioglitazone.,Proc Natl Acad Sci U S A,10.1073/pnas.0707189104,0027-8424
20075914,,Coupled chaperone action in folding and assembly of hexadecameric Rubisco.,Nature,10.1038/nature08651,1476-4687
29987021,6094102,Ancient drug curcumin impedes 26S proteasome activity by direct inhibition of dual-specificity tyrosine-regulated kinase 2.,Proc Natl Acad Sci U S A,10.1073/pnas.1806797115,1091-6490
14871068,,Electron-transfer state of 9-mesityl-10-methylacridinium ion with a much longer lifetime and higher energy than that of the natural photosynthetic reaction center.,J Am Chem Soc,10.1021/ja038656q,0002-7863
28416636,5472829,p53 Dynamically Directs TFIID Assembly on Target Gene Promoters.,Mol Cell Biol,10.1128/MCB.00085-17,1098-5549
11846565,,Crystal structure of the non-regulatory A(4 )isoform of spinach chloroplast glyceraldehyde-3-phosphate dehydrogenase complexed with NADP.,J Mol Biol,10.1006/jmbi.2001.5172,0022-2836
16684886,1472496,"The crystal structure of SdsA1, an alkylsulfatase from Pseudomonas aeruginosa, defines a third class of sulfatases.",Proc Natl Acad Sci U S A,10.1073/pnas.0510501103,0027-8424
11587647,,Crystal structure of manganese catalase from Lactobacillus plantarum.,Structure,10.1016/s0969-2126(01)00628-1,0969-2126
19737520,2799252,Promiscuous substrate recognition in folding and assembly activities of the trigger factor chaperone.,Cell,10.1016/j.cell.2009.07.044,1097-4172
22807678,3395603,Structural mechanism of trimeric HIV-1 envelope glycoprotein activation.,PLoS Pathog,10.1371/journal.ppat.1002797,1553-7374
34326541,8363932,Deep learning-based mixed-dimensional Gaussian mixture model for characterizing variability in cryo-EM.,Nat Methods,10.1038/s41592-021-01220-5,1548-7105
10864506,,Crystal structure of tobacco necrosis virus at 2.25 A resolution.,J Mol Biol,10.1006/jmbi.2000.3831,0022-2836
30137533,6212729,"Structural analysis of the ternary complex between lamin A/C, BAF and emerin identifies an interface disrupted in autosomal recessive progeroid diseases.",Nucleic Acids Res,10.1093/nar/gky736,1362-4962
14988733,380986,Structural basis of the interaction between the AAA ATPase p97/VCP and its adaptor protein p47.,EMBO J,10.1038/sj.emboj.7600139,0261-4189
26244280,4650699,"Crystal structure of E. coli endonuclease V, an essential enzyme for deamination repair.",Sci Rep,10.1038/srep12754,2045-2322
25528640,4332690,Flexible stoichiometry and asymmetry of the PIDDosome core complex by heteronuclear NMR spectroscopy and mass spectrometry.,J Mol Biol,10.1016/j.jmb.2014.11.021,1089-8638
34576210,8467750,Specific Engineered G Protein Coupling to Histamine Receptors Revealed from Cellular Assay Experiments and Accelerated Molecular Dynamics Simulations.,Int J Mol Sci,10.3390/ijms221810047,1422-0067
24287201,4817127,The structure of Rap1 in complex with RIAM reveals specificity determinants and recruitment mechanism.,J Mol Cell Biol,10.1093/jmcb/mjt044,1759-4685
36139128,9496541,Building Protein Atomic Models from Cryo-EM Density Maps and Residue Co-Evolution.,Biomolecules,10.3390/biom12091290,2218-273X
25723169,4359589,Structure of the type VI secretion system contractile sheath.,Cell,10.1016/j.cell.2015.01.037,1097-4172
11127988,1692865,Supermolecular structure of photosystem II and location of the PsbS protein.,Philos Trans R Soc Lond B Biol Sci,10.1098/rstb.2000.0695,0962-8436
34996869,8764694,Imaging active site chemistry and protonation states: NMR crystallography of the tryptophan synthase α-aminoacrylate intermediate.,Proc Natl Acad Sci U S A,10.1073/pnas.2109235119,1091-6490
22437499,,Structure of the mitotic checkpoint complex.,Nature,10.1038/nature10896,1476-4687
20128603,3073382,Structure of human G protein-coupled receptor kinase 2 in complex with the kinase inhibitor balanol.,J Med Chem,10.1021/jm9017515,1520-4804
25837515,4582657,Structural biology. Structures of the CRISPR-Cmr complex reveal mode of RNA target positioning.,Science,10.1126/science.aaa4535,1095-9203
17018279,,Measurement of conformational changes accompanying desensitization in an ionotropic glutamate receptor.,Cell,10.1016/j.cell.2006.08.037,0092-8674
17015643,1636246,The three-dimensional structure of the flagellar rotor from a clockwise-locked mutant of Salmonella enterica serovar Typhimurium.,J Bacteriol,10.1128/JB.00552-06,0021-9193
31900312,6994817,"Discovery of Small Molecules That Target the Phosphatidylinositol (3,4,5) Trisphosphate (PIP<sub>3</sub>)-Dependent Rac Exchanger 1 (P-Rex1) PIP<sub>3</sub>-Binding Site and Inhibit P-Rex1-Dependent Functions in Neutrophils.",Mol Pharmacol,10.1124/mol.119.117556,1521-0111
27262437,,The crystal structure of an inactive dimer of PDZ-binding kinase.,Biochem Biophys Res Commun,10.1016/j.bbrc.2016.05.166,1090-2104
16438984,,Co-repressor induced order and biotin repressor dimerization: a case for divergent followed by convergent evolution.,J Mol Biol,10.1016/j.jmb.2005.12.066,0022-2836
21835774,3241653,The crystal structure of the TetR family transcriptional repressor SimR bound to DNA and the role of a flexible N-terminal extension in minor groove binding.,Nucleic Acids Res,10.1093/nar/gkr640,1362-4962
29887376,6003885,Structural Basis for Transcript Elongation Control by NusG Family Universal Regulators.,Cell,10.1016/j.cell.2018.05.017,1097-4172
34700375,8546573,Cryo-Electron Microscopy Structure and Interactions of the Human Cytomegalovirus gHgLgO Trimer with Platelet-Derived Growth Factor Receptor Alpha.,mBio,10.1128/mBio.02625-21,2150-7511
16511294,2150958,Preliminary crystallographic studies of yeast mitochondrial peripheral membrane protein Tim44p.,Acta Crystallogr Sect F Struct Biol Cryst Commun,10.1107/S1744309106002053,1744-3091
20444480,2885149,The structure of adeno-associated virus serotype 3B (AAV-3B): insights into receptor binding and immune evasion.,Virology,10.1016/j.virol.2010.03.027,1096-0341
21821126,3193589,The Phenix software for automated determination of macromolecular structures.,Methods,10.1016/j.ymeth.2011.07.005,1095-9130
25453557,,Structural insights into the organization of the cavin membrane coat complex.,Dev Cell,10.1016/j.devcel.2014.10.002,1878-1551
15312764,,The hyperthermophile protein Sso10a is a dimer of winged helix DNA-binding domains linked by an antiparallel coiled coil rod.,J Mol Biol,10.1016/j.jmb.2004.05.044,0022-2836
25794153,4368116,Structure determination of feline calicivirus virus-like particles in the context of a pseudo-octahedral arrangement.,PLoS One,10.1371/journal.pone.0119289,1932-6203
26198187,,Identification of Manganese Superoxide Dismutase from Sphingobacterium sp. T2 as a Novel Bacterial Enzyme for Lignin Oxidation.,ACS Chem Biol,10.1021/acschembio.5b00298,1554-8937
18052214,,Conformational specificity of the lac repressor coiled-coil tetramerization domain.,Biochemistry,10.1021/bi701930d,0006-2960
17604278,,Global structure changes associated with Ca2+ activation of full-length human plasma gelsolin.,J Biol Chem,10.1074/jbc.M702446200,0021-9258
33853966,8316054,The Cryo-EM Structure of Vesivirus 2117 Highlights Functional Variations in Entry Pathways for Viruses in Different Clades of the Vesivirus Genus.,J Virol,10.1128/JVI.00282-21,1098-5514
27113583,4887326,Structural insights into the regulatory mechanism of the Pseudomonas aeruginosa YfiBNR system.,Protein Cell,10.1007/s13238-016-0264-7,1674-8018
24550278,3932878,Structural basis for the electron transfer from an open form of NADPH-cytochrome P450 oxidoreductase to heme oxygenase.,Proc Natl Acad Sci U S A,10.1073/pnas.1322034111,1091-6490
35120603,8786603,Structural and functional characterizations of infectivity and immune evasion of SARS-CoV-2 Omicron.,Cell,10.1016/j.cell.2022.01.019,1097-4172
30804532,6447045,Bidirectional modulation of HIF-2 activity through chemical ligands.,Nat Chem Biol,10.1038/s41589-019-0234-5,1552-4469
15194511,,Asp49 phospholipase A(2)-elaidoylamide complex: a new mode of inhibition.,Biochem Biophys Res Commun,10.1016/j.bbrc.2004.05.106,0006-291X
18093968,,Structure and catalytic mechanism of eukaryotic selenocysteine synthase.,J Biol Chem,10.1074/jbc.M709342200,0021-9258
21245449,3067135,"In vitro characterization of GS-8374, a novel phosphonate-containing inhibitor of HIV-1 protease with a favorable resistance profile.",Antimicrob Agents Chemother,10.1128/AAC.01183-10,1098-6596
27943209,,A Protocol for Isolation and Proteomic Characterization of Distinct Extracellular Vesicle Subtypes by Sequential Centrifugal Ultrafiltration.,Methods Mol Biol,10.1007/978-1-4939-6728-5_7,1940-6029
28179186,,Self-Oligomerizing Structure of the Flagellar Cap Protein FliD and Its Implication in Filament Assembly.,J Mol Biol,10.1016/j.jmb.2017.02.001,1089-8638
11277925,,The structure of the PII-ATP complex.,Eur J Biochem,10.1046/j.1432-1327.2001.02074.x,0014-2956
30228257,6143631,Paf1 and Ctr9 subcomplex formation is essential for Paf1 complex assembly and functional regulation.,Nat Commun,10.1038/s41467-018-06237-7,2041-1723
11823543,,Anti-sm autoantibodies in systemic lupus target highly basic surface structures of complexed spliceosomal autoantigens.,J Immunol,10.4049/jimmunol.168.4.2054,0022-1767
25089587,4201341,A double-hotdog with a new trick: structure and mechanism of the trans-acyltransferase polyketide synthase enoyl-isomerase.,ACS Chem Biol,10.1021/cb500459b,1554-8937
23620593,3682577,Structure of the mycosin-1 protease from the mycobacterial ESX-1 protein type VII secretion system.,J Biol Chem,10.1074/jbc.M113.462036,1083-351X
26449474,4640189,Cryo-EM structure of the activated NAIP2-NLRC4 inflammasome reveals nucleated polymerization.,Science,10.1126/science.aac5789,1095-9203
29263097,5809689,Multiple Structures Disclose the Secretins' Secrets.,J Bacteriol,10.1128/JB.00702-17,1098-5530
20208174,2833050,Crystallization and preliminary X-ray crystallographic study of 1-deoxy-D-xylulose 5-phosphate reductoisomerase from Plasmodium falciparum.,Acta Crystallogr Sect F Struct Biol Cryst Commun,10.1107/S1744309110001739,1744-3091
14993701,,Crystallization and preliminary X-ray analysis of family 39 beta-D-xylosidase from Geobacillus stearothermophilus T-6.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444904001088,0907-4449
16427014,,Crystal structure of a Cbf5-Nop10-Gar1 complex and implications in RNA-guided pseudouridylation and dyskeratosis congenita.,Mol Cell,10.1016/j.molcel.2005.11.017,1097-2765
12408728,,Spectral and crystallographic study of pyridinic analogues of nimesulide: determination of the active form of methanesulfonamides as COX-2 selective inhibitors.,J Med Chem,10.1021/jm020920n,0022-2623
30679550,6346006,"Search for efficient inhibitors of myotoxic activity induced by ophidian phospholipase A<sub>2</sub>-like proteins using functional, structural and bioinformatics approaches.",Sci Rep,10.1038/s41598-018-36839-6,2045-2322
14573596,,Crystal structure of human pirin: an iron-binding nuclear protein and transcription cofactor.,J Biol Chem,10.1074/jbc.M310022200,0021-9258
22483115,3320712,Structure of the discoidin domain receptor 1 extracellular region bound to an inhibitory Fab fragment reveals features important for signaling.,Structure,10.1016/j.str.2012.02.011,1878-4186
19923718,,Structure of the human filamin A actin-binding domain.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444909037330,1399-0047
17142893,2225357,The 2.1 A structure of Aerococcus viridans L-lactate oxidase (LOX).,Acta Crystallogr Sect F Struct Biol Cryst Commun,10.1107/S1744309106044678,1744-3091
16790937,,"The 1.9 A resolution structure of Mycobacterium tuberculosis 1-deoxy-D-xylulose 5-phosphate reductoisomerase, a potential drug target.",Acta Crystallogr D Biol Crystallogr,10.1107/S0907444906019196,0907-4449
16260762,2253232,Modulation of oxygen binding to insect hemoglobins: the structure of hemoglobin from the botfly Gasterophilus intestinalis.,Protein Sci,10.1110/ps.051742605,0961-8368
25043846,4286995,Engineering of an isolated p110α subunit of PI3Kα permits crystallization and provides a platform for structure-based drug design.,Protein Sci,10.1002/pro.2517,1469-896X
36949187,10060162,Structural basis of mitochondrial membrane bending by the I-II-III<sub>2</sub>-IV<sub>2</sub> supercomplex.,Nature,10.1038/s41586-023-05817-y,1476-4687
10944355,,Apocrustacyanin A1 from the lobster carotenoprotein alpha-crustacyanin: crystallization and initial X-ray analysis involving softer X-rays.,Acta Crystallogr D Biol Crystallogr,10.1107/s0907444900008556,0907-4449
34562374,,Structure of the peripheral arm of a minimalistic respiratory complex I.,Structure,10.1016/j.str.2021.09.005,1878-4186
32297861,7200158,Limited dishevelled/Axin oligomerization determines efficiency of Wnt/β-catenin signal transduction.,Elife,10.7554/eLife.55015,2050-084X
10906212,112279,The structure of cucumber mosaic virus and comparison to cowpea chlorotic mottle virus.,J Virol,10.1128/jvi.74.16.7578-7586.2000,0022-538X
27905396,5146279,Atomic structure of the innexin-6 gap junction channel determined by cryo-EM.,Nat Commun,10.1038/ncomms13681,2041-1723
26268558,4692083,The solution structures of native and patient monomeric human IgA1 reveal asymmetric extended structures: implications for function and IgAN disease.,Biochem J,10.1042/BJ20150612,1470-8728
17721508,,Structural basis of Dscam isoform specificity.,Nature,10.1038/nature06147,1476-4687
14724278,,Crystal structure of imidazole glycerol-phosphate dehydratase: duplication of an unusual fold.,J Biol Chem,10.1074/jbc.M312733200,0021-9258
17085685,1693953,The crystal structure of Arabidopsis thaliana allene oxide cyclase: insights into the oxylipin cyclization reaction.,Plant Cell,10.1105/tpc.106.043984,1040-4651
12624095,,A unique resting position of the ATP-synthase from chloroplasts.,J Biol Chem,10.1074/jbc.M212852200,0021-9258
21317871,3049213,Dynamics and allosteric potential of the AMPA receptor N-terminal domain.,EMBO J,10.1038/emboj.2011.17,1460-2075
20813114,,Crystal structure of γ-hexachlorocyclohexane Dehydrochlorinase LinA from Sphingobium japonicum UT26.,J Mol Biol,10.1016/j.jmb.2010.08.043,1089-8638
22101818,3211971,Crystallographic analysis of human hemoglobin elucidates the structural basis of the potent and dual antisickling activity of pyridyl derivatives of vanillin.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444911036353,1399-0047
30570212,,Arabidopsis seryl-tRNA synthetase: the first crystal structure and novel protein interactor of plant aminoacyl-tRNA synthetase.,FEBS J,10.1111/febs.14735,1742-4658
28223532,5347631,Identification of productive and futile encounters in an electron transfer protein complex.,Proc Natl Acad Sci U S A,10.1073/pnas.1616813114,1091-6490
11371463,1301474,Plasticity in protein-peptide recognition: crystal structures of two different peptides bound to concanavalin A.,Biophys J,10.1016/S0006-3495(01)76256-X,0006-3495
17503096,,The structure of the Met144Leu mutant of copper nitrite reductase from Alcaligenes xylosoxidans provides the first glimpse of a protein-protein complex with azurin II.,J Biol Inorg Chem,10.1007/s00775-007-0233-y,0949-8257
27226593,4946924,Substrate-selective Inhibition of Cyclooxygeanse-2 by Fenamic Acid Derivatives Is Dependent on Peroxide Tone.,J Biol Chem,10.1074/jbc.M116.725713,1083-351X
12005438,,Downstream regulator TANK binds to the CD40 recognition site on TRAF3.,Structure,10.1016/s0969-2126(02)00733-5,0969-2126
34265249,,Allosteric transcription stimulation by RNA polymerase II super elongation complex.,Mol Cell,10.1016/j.molcel.2021.06.019,1097-4164
34377375,8329992,Cryptococcus extracellular vesicles properties and their use as vaccine platforms.,J Extracell Vesicles,10.1002/jev2.12129,2001-3078
21484972,,The trinuclear copper(I) thiolate complexes [Cu3(NGuaS)3](0/1+) and their dimeric variants [Cu6(NGuaS)6](1+/2+/3+) with biomimetic redox properties.,Angew Chem Int Ed Engl,10.1002/anie.201008076,1521-3773
21402358,,Coiled-coil domain-dependent homodimerization of intracellular barley immune receptors defines a minimal functional module for triggering cell death.,Cell Host Microbe,10.1016/j.chom.2011.02.008,1934-6069
23633599,3640474,The structure of the SBP-Tag-streptavidin complex reveals a novel helical scaffold bridging binding pockets on separate subunits.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444913002576,1399-0047
32610344,,Structural basis of CXC chemokine receptor 2 activation and signalling.,Nature,10.1038/s41586-020-2492-5,1476-4687
18971332,2579354,Structure of ratcheted ribosomes with tRNAs in hybrid states.,Proc Natl Acad Sci U S A,10.1073/pnas.0809587105,1091-6490
20833802,2976456,Analysis of the intact surface layer of Caulobacter crescentus by cryo-electron tomography.,J Bacteriol,10.1128/JB.00747-10,1098-5530
19141864,2689041,Structures of the spectrin-ankyrin interaction binding domains.,Blood,10.1182/blood-2008-10-184358,1528-0020
20222013,2868241,Structure of the catalytic domain of the human mitochondrial Lon protease: proposed relation of oligomer formation and activity.,Protein Sci,10.1002/pro.376,1469-896X
16639700,,T-cell epitopes of the La/SSB autoantigen: prediction based on the homology modeling of HLA-DQ2/DQ7 with the insulin-B peptide/HLA-DQ8 complex.,J Comput Chem,10.1002/jcc.20422,0192-8651
21084296,3023495,Structure and catalysis of acylaminoacyl peptidase: closed and open subunits of a dimer oligopeptidase.,J Biol Chem,10.1074/jbc.M110.169862,1083-351X
34789879,8798225,Structural insights into Ubr1-mediated N-degron polyubiquitination.,Nature,10.1038/s41586-021-04097-8,1476-4687
36513068,,Conformational change of α-synuclein fibrils in cerebrospinal fluid from different clinical phases of Parkinson's disease.,Structure,10.1016/j.str.2022.11.013,1878-4186
18479707,,Structural enzymological studies of 2-enoyl thioester reductase of the human mitochondrial FAS II pathway: new insights into its substrate recognition properties.,J Mol Biol,10.1016/j.jmb.2008.04.041,1089-8638
10966774,,Refined structure of desmodium yellow mottle tymovirus at 2.7 A resolution.,J Mol Biol,10.1006/jmbi.2000.3983,0022-2836
29335563,5837000,Visualization and analysis of non-covalent contacts using the Protein Contacts Atlas.,Nat Struct Mol Biol,10.1038/s41594-017-0019-z,1545-9985
19923220,2804353,Unraveling of the E-helices and disruption of 4-fold pores are associated with iron mishandling in a mutant ferritin causing neurodegeneration.,J Biol Chem,10.1074/jbc.M109.042986,1083-351X
18287284,2248322,Intersubunit linker length as a modifier of protein stability: crystal structures and thermostability of mutant TRAP.,Protein Sci,10.1110/ps.073059308,0961-8368
31919484,,Pseudoguaianelactones A-C: three unusual sesquiterpenoids from Lindera glauca with anti-inflammatory activities by inhibiting the LPS-induced expression of iNOS and COX-2.,Chem Commun (Camb),10.1039/c9cc09159a,1364-548X
24751834,,Structural basis for recognition of the type VI spike protein VgrG3 by a cognate immunity protein.,FEBS Lett,10.1016/j.febslet.2014.04.016,1873-3468
38212334,10784485,Cryo-EM observation of the amyloid key structure of polymorphic TDP-43 amyloid fibrils.,Nat Commun,10.1038/s41467-023-44489-0,2041-1723
25280103,,Structural model of a CRISPR RNA-silencing complex reveals the RNA-target cleavage activity in Cmr4.,Mol Cell,10.1016/j.molcel.2014.09.002,1097-4164
15016893,371092,Second sialic acid binding site in Newcastle disease virus hemagglutinin-neuraminidase: implications for fusion.,J Virol,10.1128/jvi.78.7.3733-3741.2004,0022-538X
22354707,,Target selection for structural genomics based on combining fold recognition and crystallisation prediction methods: application to the human proteome.,J Struct Funct Genomics,10.1007/s10969-012-9130-x,1570-0267
26483544,4705923,Structural Insights into the MMACHC-MMADHC Protein Complex Involved in Vitamin B12 Trafficking.,J Biol Chem,10.1074/jbc.M115.683268,1083-351X
11101900,,"The structure and oligomerization of the yeast arginine methyltransferase, Hmt1.",Nat Struct Biol,10.1038/82028,1072-8368
16882719,2131688,Structure of the nuclear exosome component Rrp6p reveals an interplay between the active site and the HRDC domain.,Proc Natl Acad Sci U S A,10.1073/pnas.0604731103,0027-8424
30232337,6145873,Structural cycle of the Thermus thermophilus PilF ATPase: the powering of type IVa pilus assembly.,Sci Rep,10.1038/s41598-018-32218-3,2045-2322
22973030,3497697,"Characterization of the genome, proteome, and structure of yersiniophage ϕR1-37.",J Virol,10.1128/JVI.01783-12,1098-5514
37620344,10449877,Structural basis of peptidoglycan synthesis by E. coli RodA-PBP2 complex.,Nat Commun,10.1038/s41467-023-40483-8,2041-1723
15313616,,Structure and action of urocanase.,J Mol Biol,10.1016/j.jmb.2004.07.028,0022-2836
21824775,,Substitution of the phosphonic acid and hydroxamic acid functionalities of the DXR inhibitor FR900098: an attempt to improve the activity against Mycobacterium tuberculosis.,Bioorg Med Chem Lett,10.1016/j.bmcl.2011.07.005,1464-3405
25404323,4260552,Structure of the meningococcal vaccine antigen NadA and epitope mapping of a bactericidal antibody.,Proc Natl Acad Sci U S A,10.1073/pnas.1419686111,1091-6490
14992576,,"Structure of an allosteric inhibitor of LFA-1 bound to the I-domain studied by crystallography, NMR, and calorimetry.",Biochemistry,10.1021/bi035422a,0006-2960
24100318,,The DNA-binding domain of BenM reveals the structural basis for the recognition of a T-N11-A sequence motif by LysR-type transcriptional regulators.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444913017320,1399-0047
22491457,3393579,Epitope insertion at the N-terminal molecular switch of the rabbit hemorrhagic disease virus T = 3 capsid protein leads to larger T = 4 capsids.,J Virol,10.1128/JVI.07050-11,1098-5514
30580036,6365017,"Structural and Biochemical Characterization of Aldehyde Dehydrogenase 12, the Last Enzyme of Proline Catabolism in Plants.",J Mol Biol,10.1016/j.jmb.2018.12.010,1089-8638
20546902,,Structure of the novel 14kDa fragment of alpha-subunit of phycoerythrin from the starving cyanobacterium Phormidium tenue.,J Struct Biol,10.1016/j.jsb.2010.05.008,1095-8657
34256050,8339350,Beyond PKA: Evolutionary and structural insights that define a docking and dimerization domain superfamily.,J Biol Chem,10.1016/j.jbc.2021.100927,1083-351X
